,team,elo,from,to,league
373,Crystal Palace,1703.31286621,2021-10-01,2021-10-03,ENG-Premier League
374,Brentford,1699.59509277,2021-10-03,2021-10-03,ENG-Premier League
375,Southampton,1692.40576172,2021-10-03,2021-10-03,ENG-Premier League
376,Newcastle,1689.61572266,2021-10-03,2021-10-03,ENG-Premier League
377,Burnley,1681.68408203,2021-10-03,2021-10-03,ENG-Premier League
378,Watford,1661.07128906,2021-10-03,2021-10-03,ENG-Premier League
379,Norwich,1619.74572754,2021-10-03,2021-10-03,ENG-Premier League
380,Man City,2001.21655273,2021-10-04,2021-10-16,ENG-Premier League
381,Liverpool,1963.90881348,2021-10-04,2021-10-16,ENG-Premier League
382,Chelsea,1936.93859863,2021-10-03,2021-10-16,ENG-Premier League
383,Man United,1912.42150879,2021-10-04,2021-10-16,ENG-Premier League
384,Arsenal,1842.19067383,2021-10-04,2021-10-18,ENG-Premier League
385,West Ham,1818.10180664,2021-10-04,2021-10-17,ENG-Premier League
386,Tottenham,1812.18835449,2021-10-04,2021-10-17,ENG-Premier League
387,Everton,1787.26452637,2021-10-03,2021-10-17,ENG-Premier League
388,Leicester,1763.59191895,2021-10-04,2021-10-16,ENG-Premier League
389,Leeds,1757.70959473,2021-10-04,2021-10-16,ENG-Premier League
390,Aston Villa,1756.60473633,2021-10-04,2021-10-16,ENG-Premier League
391,Brighton,1741.33081055,2021-10-04,2021-10-16,ENG-Premier League
392,Wolves,1729.19702148,2021-10-04,2021-10-16,ENG-Premier League
393,Brentford,1711.51940918,2021-10-04,2021-10-16,ENG-Premier League
394,Crystal Palace,1704.1394043,2021-10-04,2021-10-17,ENG-Premier League
395,Southampton,1692.40576172,2021-10-16,2021-10-16,ENG-Premier League
396,Newcastle,1689.61572266,2021-10-16,2021-10-17,ENG-Premier League
397,Burnley,1681.68408203,2021-10-04,2021-10-16,ENG-Premier League
398,Watford,1661.07128906,2021-10-04,2021-10-16,ENG-Premier League
399,Norwich,1619.74572754,2021-10-04,2021-10-16,ENG-Premier League
400,Man City,2003.45397949,2021-10-17,2021-10-19,ENG-Premier League
401,Liverpool,1969.42553711,2021-10-17,2021-10-19,ENG-Premier League
402,Chelsea,1940.5916748,2021-10-17,2021-10-19,ENG-Premier League
403,Man United,1896.87744141,2021-10-17,2021-10-19,ENG-Premier League
404,Arsenal,1842.19067383,2021-10-04,2021-10-18,ENG-Premier League
405,West Ham,1818.10180664,2021-10-04,2021-10-17,ENG-Premier League
406,Tottenham,1812.18835449,2021-10-04,2021-10-17,ENG-Premier League
407,Everton,1787.26452637,2021-10-03,2021-10-17,ENG-Premier League
408,Leicester,1779.13598633,2021-10-17,2021-10-19,ENG-Premier League
409,Leeds,1748.91918945,2021-10-17,2021-10-19,ENG-Premier League
410,Aston Villa,1746.81335449,2021-10-17,2021-10-19,ENG-Premier League
411,Wolves,1738.98840332,2021-10-17,2021-10-19,ENG-Premier League
412,Brighton,1738.81262207,2021-10-17,2021-10-19,ENG-Premier League
413,Brentford,1707.86621094,2021-10-17,2021-10-18,ENG-Premier League
414,Crystal Palace,1704.1394043,2021-10-04,2021-10-17,ENG-Premier League
415,Southampton,1701.19628906,2021-10-17,2021-10-17,ENG-Premier League
416,Newcastle,1689.61572266,2021-10-16,2021-10-17,ENG-Premier League
417,Burnley,1679.44677734,2021-10-17,2021-10-17,ENG-Premier League
418,Watford,1655.55456543,2021-10-17,2021-10-17,ENG-Premier League
419,Norwich,1622.26391602,2021-10-17,2021-10-17,ENG-Premier League
420,Man City,2003.45397949,2021-10-17,2021-10-19,ENG-Premier League
421,Liverpool,1969.42553711,2021-10-17,2021-10-19,ENG-Premier League
422,Chelsea,1940.5916748,2021-10-17,2021-10-19,ENG-Premier League
423,Man United,1896.87744141,2021-10-17,2021-10-19,ENG-Premier League
424,Arsenal,1842.19067383,2021-10-04,2021-10-18,ENG-Premier League
425,West Ham,1826.22546387,2021-10-18,2021-10-19,ENG-Premier League
426,Tottenham,1817.83679199,2021-10-18,2021-10-19,ENG-Premier League
427,Everton,1779.14086914,2021-10-18,2021-10-19,ENG-Premier League
428,Leicester,1779.13598633,2021-10-17,2021-10-19,ENG-Premier League
429,Leeds,1748.91918945,2021-10-17,2021-10-19,ENG-Premier League
430,Aston Villa,1746.81335449,2021-10-17,2021-10-19,ENG-Premier League
431,Wolves,1738.98840332,2021-10-17,2021-10-19,ENG-Premier League
432,Brighton,1738.81262207,2021-10-17,2021-10-19,ENG-Premier League
433,Brentford,1707.86621094,2021-10-17,2021-10-18,ENG-Premier League
434,Crystal Palace,1704.1394043,2021-10-18,2021-10-18,ENG-Premier League
435,Southampton,1701.19628906,2021-10-18,2021-10-19,ENG-Premier League
436,Newcastle,1683.96728516,2021-10-18,2021-10-19,ENG-Premier League
437,Burnley,1679.44677734,2021-10-18,2021-10-19,ENG-Premier League
438,Watford,1655.55456543,2021-10-18,2021-10-18,ENG-Premier League
439,Norwich,1622.26391602,2021-10-18,2021-10-19,ENG-Premier League
440,Man City,2011.1072998,2021-10-22,2021-10-23,ENG-Premier League
441,Liverpool,1980.66418457,2021-10-22,2021-10-24,ENG-Premier League
442,Chelsea,1945.67797852,2021-10-22,2021-10-23,ENG-Premier League
443,Man United,1904.68591309,2021-10-22,2021-10-24,ENG-Premier League
444,Arsenal,1841.01831055,2021-10-22,2021-10-22,ENG-Premier League
445,West Ham,1832.03942871,2021-10-22,2021-10-24,ENG-Premier League
446,Tottenham,1808.00024414,2021-10-22,2021-10-23,ENG-Premier League
447,Leicester,1786.22363281,2021-10-22,2021-10-24,ENG-Premier League
448,Everton,1782.56237793,2021-10-22,2021-10-23,ENG-Premier League
449,Leeds,1752.34069824,2021-10-22,2021-10-23,ENG-Premier League
450,Aston Villa,1750.23498535,2021-10-22,2021-10-22,ENG-Premier League
451,Wolves,1742.41003418,2021-10-22,2021-10-23,ENG-Premier League
452,Brighton,1742.23413086,2021-10-22,2021-10-23,ENG-Premier League
453,Crystal Palace,1712.15490723,2021-10-22,2021-10-23,ENG-Premier League
454,Brentford,1711.2878418,2021-10-22,2021-10-24,ENG-Premier League
455,Southampton,1704.61779785,2021-10-22,2021-10-23,ENG-Premier League
456,Newcastle,1687.38891602,2021-10-22,2021-10-23,ENG-Premier League
457,Burnley,1682.86828613,2021-10-22,2021-10-23,ENG-Premier League
458,Watford,1658.97619629,2021-10-22,2021-10-22,ENG-Premier League
459,Norwich,1625.6854248,2021-10-22,2021-10-23,ENG-Premier League
460,Man City,2011.1072998,2021-10-22,2021-10-23,ENG-Premier League
461,Liverpool,1980.66418457,2021-10-22,2021-10-24,ENG-Premier League
462,Chelsea,1945.67797852,2021-10-22,2021-10-23,ENG-Premier League
463,Man United,1904.68591309,2021-10-22,2021-10-24,ENG-Premier League
464,Arsenal,1848.11376953,2021-10-23,2021-10-30,ENG-Premier League
465,West Ham,1832.03942871,2021-10-22,2021-10-24,ENG-Premier League
466,Tottenham,1808.00024414,2021-10-22,2021-10-23,ENG-Premier League
467,Leicester,1786.22363281,2021-10-22,2021-10-24,ENG-Premier League
468,Everton,1782.56237793,2021-10-22,2021-10-23,ENG-Premier League
469,Leeds,1752.34069824,2021-10-22,2021-10-23,ENG-Premier League
470,Aston Villa,1743.1394043,2021-10-23,2021-10-24,ENG-Premier League
471,Wolves,1742.41003418,2021-10-22,2021-10-23,ENG-Premier League
472,Brighton,1742.23413086,2021-10-22,2021-10-23,ENG-Premier League
473,Crystal Palace,1712.15490723,2021-10-22,2021-10-23,ENG-Premier League
474,Brentford,1711.2878418,2021-10-22,2021-10-24,ENG-Premier League
475,Southampton,1704.61779785,2021-10-22,2021-10-23,ENG-Premier League
476,Newcastle,1687.38891602,2021-10-22,2021-10-23,ENG-Premier League
477,Burnley,1682.86828613,2021-10-22,2021-10-23,ENG-Premier League
478,Watford,1658.97619629,2021-10-23,2021-10-23,ENG-Premier League
479,Norwich,1625.6854248,2021-10-22,2021-10-23,ENG-Premier League
480,Man City,2016.25939941,2021-10-24,2021-10-30,ENG-Premier League
481,Liverpool,1980.66418457,2021-10-22,2021-10-24,ENG-Premier League
482,Chelsea,1949.85913086,2021-10-24,2021-10-30,ENG-Premier League
483,Man United,1904.68591309,2021-10-22,2021-10-24,ENG-Premier League
484,Arsenal,1848.11376953,2021-10-23,2021-10-30,ENG-Premier League
485,West Ham,1832.03942871,2021-10-22,2021-10-24,ENG-Premier League
486,Tottenham,1808.00024414,2021-10-24,2021-10-24,ENG-Premier League
487,Leicester,1786.22363281,2021-10-22,2021-10-24,ENG-Premier League
488,Everton,1761.70263672,2021-10-24,2021-10-24,ENG-Premier League
489,Leeds,1751.07763672,2021-10-24,2021-10-31,ENG-Premier League
490,Wolves,1743.6730957,2021-10-24,2021-10-24,ENG-Premier League
491,Aston Villa,1743.1394043,2021-10-23,2021-10-24,ENG-Premier League
492,Brighton,1737.08203125,2021-10-24,2021-10-24,ENG-Premier League
493,Brentford,1711.2878418,2021-10-22,2021-10-24,ENG-Premier League
494,Crystal Palace,1710.47412109,2021-10-24,2021-10-24,ENG-Premier League
495,Southampton,1703.02148438,2021-10-24,2021-10-24,ENG-Premier League
496,Newcastle,1689.06970215,2021-10-24,2021-10-25,ENG-Premier League
497,Burnley,1684.46459961,2021-10-24,2021-10-27,ENG-Premier League
498,Watford,1679.8359375,2021-10-24,2021-10-24,ENG-Premier League
499,Norwich,1621.50427246,2021-10-24,2021-10-31,ENG-Premier League
500,Man City,2016.25939941,2021-10-24,2021-10-30,ENG-Premier League
501,Liverpool,1996.1673584,2021-10-25,2021-10-30,ENG-Premier League
502,Chelsea,1949.85913086,2021-10-24,2021-10-30,ENG-Premier League
503,Man United,1889.18273926,2021-10-25,2021-10-30,ENG-Premier League
504,Arsenal,1848.11376953,2021-10-23,2021-10-30,ENG-Premier League
505,West Ham,1838.45532227,2021-10-28,2021-10-31,ENG-Premier League
506,Tottenham,1801.58447266,2021-10-25,2021-10-30,ENG-Premier League
507,Leicester,1793.2232666,2021-10-29,2021-10-30,ENG-Premier League
508,Everton,1761.70263672,2021-10-28,2021-10-30,ENG-Premier League
509,Leeds,1751.07763672,2021-10-24,2021-10-31,ENG-Premier League
510,Wolves,1743.6730957,2021-10-25,2021-10-30,ENG-Premier League
511,Aston Villa,1743.1394043,2021-10-25,2021-10-30,ENG-Premier League
512,Brighton,1737.08203125,2021-10-25,2021-10-30,ENG-Premier League
513,Crystal Palace,1710.47412109,2021-10-25,2021-10-30,ENG-Premier League
514,Brentford,1704.28808594,2021-10-25,2021-10-30,ENG-Premier League
515,Southampton,1703.02148438,2021-10-28,2021-10-30,ENG-Premier League
516,Newcastle,1689.06970215,2021-10-28,2021-10-30,ENG-Premier League
517,Burnley,1684.46459961,2021-10-28,2021-10-30,ENG-Premier League
518,Watford,1679.8359375,2021-10-25,2021-10-30,ENG-Premier League
519,Norwich,1621.50427246,2021-10-24,2021-10-31,ENG-Premier League
520,Man City,1994.30969238,2021-10-31,2021-11-02,ENG-Premier League
521,Liverpool,1989.30163574,2021-10-31,2021-11-02,ENG-Premier League
522,Chelsea,1955.1003418,2021-10-31,2021-11-02,ENG-Premier League
523,Man United,1900.48388672,2021-10-31,2021-11-02,ENG-Premier League
524,Arsenal,1858.58251953,2021-10-31,2021-11-02,ENG-Premier League
525,West Ham,1838.45532227,2021-10-28,2021-10-31,ENG-Premier League
526,Tottenham,1790.2833252,2021-10-31,2021-10-31,ENG-Premier League
527,Leicester,1782.75463867,2021-10-31,2021-11-02,ENG-Premier League
528,Everton,1761.70263672,2021-10-31,2021-10-31,ENG-Premier League
529,Leeds,1751.07763672,2021-10-24,2021-10-31,ENG-Premier League
530,Brighton,1743.94787598,2021-10-31,2021-11-01,ENG-Premier League
531,Wolves,1743.6730957,2021-10-31,2021-11-01,ENG-Premier League
532,Aston Villa,1743.1394043,2021-10-31,2021-10-31,ENG-Premier League
533,Crystal Palace,1732.42382812,2021-10-31,2021-11-02,ENG-Premier League
534,Southampton,1711.37670898,2021-10-31,2021-10-31,ENG-Premier League
535,Burnley,1695.51452637,2021-10-31,2021-11-02,ENG-Premier League
536,Brentford,1693.23815918,2021-10-31,2021-11-02,ENG-Premier League
537,Newcastle,1683.82849121,2021-10-31,2021-11-02,ENG-Premier League
538,Watford,1671.48071289,2021-10-31,2021-11-02,ENG-Premier League
539,Norwich,1621.50427246,2021-10-24,2021-10-31,ENG-Premier League
540,Man City,1994.30969238,2021-10-31,2021-11-02,ENG-Premier League
541,Liverpool,1989.30163574,2021-10-31,2021-11-02,ENG-Premier League
542,Chelsea,1955.1003418,2021-10-31,2021-11-02,ENG-Premier League
543,Man United,1900.48388672,2021-10-31,2021-11-02,ENG-Premier League
544,Arsenal,1858.58251953,2021-10-31,2021-11-02,ENG-Premier League
545,West Ham,1849.27307129,2021-11-01,2021-11-02,ENG-Premier League
546,Tottenham,1790.2833252,2021-11-01,2021-11-02,ENG-Premier League
547,Leicester,1782.75463867,2021-10-31,2021-11-02,ENG-Premier League
548,Everton,1761.70263672,2021-11-01,2021-11-01,ENG-Premier League
549,Leeds,1756.52905273,2021-11-01,2021-11-01,ENG-Premier League
550,Brighton,1743.94787598,2021-10-31,2021-11-01,ENG-Premier League
551,Wolves,1743.6730957,2021-10-31,2021-11-01,ENG-Premier League
552,Crystal Palace,1732.42382812,2021-10-31,2021-11-02,ENG-Premier League
553,Aston Villa,1732.32165527,2021-11-01,2021-11-02,ENG-Premier League
554,Southampton,1711.37670898,2021-11-01,2021-11-02,ENG-Premier League
555,Burnley,1695.51452637,2021-10-31,2021-11-02,ENG-Premier League
556,Brentford,1693.23815918,2021-10-31,2021-11-02,ENG-Premier League
557,Newcastle,1683.82849121,2021-10-31,2021-11-02,ENG-Premier League
558,Watford,1671.48071289,2021-10-31,2021-11-02,ENG-Premier League
559,Norwich,1616.05285645,2021-11-01,2021-11-02,ENG-Premier League
560,Man City,1995.01635742,2021-11-05,2021-11-06,ENG-Premier League
561,Liverpool,1993.83129883,2021-11-05,2021-11-07,ENG-Premier League
562,Chelsea,1955.78381348,2021-11-05,2021-11-06,ENG-Premier League
563,Man United,1898.72717285,2021-11-05,2021-11-06,ENG-Premier League
564,Arsenal,1857.53796387,2021-11-05,2021-11-07,ENG-Premier League
565,West Ham,1842.0892334,2021-11-05,2021-11-07,ENG-Premier League
566,Tottenham,1791.24768066,2021-11-05,2021-11-06,ENG-Premier League
567,Leicester,1774.02526855,2021-11-05,2021-11-07,ENG-Premier League
568,Leeds,1755.48449707,2021-11-05,2021-11-07,ENG-Premier League
569,Everton,1752.7076416,2021-11-05,2021-11-07,ENG-Premier League
570,Wolves,1750.57897949,2021-11-05,2021-11-06,ENG-Premier League
571,Brighton,1742.90332031,2021-11-05,2021-11-06,ENG-Premier League
572,Crystal Palace,1731.37927246,2021-11-05,2021-11-06,ENG-Premier League
573,Aston Villa,1731.27709961,2021-11-05,2021-11-05,ENG-Premier League
574,Southampton,1710.33215332,2021-11-05,2021-11-05,ENG-Premier League
575,Burnley,1694.4699707,2021-11-05,2021-11-06,ENG-Premier League
576,Brentford,1692.19360352,2021-11-05,2021-11-06,ENG-Premier League
577,Newcastle,1682.78393555,2021-11-05,2021-11-06,ENG-Premier League
578,Watford,1670.43615723,2021-11-05,2021-11-06,ENG-Premier League
579,Norwich,1615.00830078,2021-11-05,2021-11-06,ENG-Premier League
580,Man City,1995.01635742,2021-11-05,2021-11-06,ENG-Premier League
581,Liverpool,1993.83129883,2021-11-05,2021-11-07,ENG-Premier League
582,Chelsea,1955.78381348,2021-11-05,2021-11-06,ENG-Premier League
583,Man United,1898.72717285,2021-11-05,2021-11-06,ENG-Premier League
584,Arsenal,1857.53796387,2021-11-05,2021-11-07,ENG-Premier League
585,West Ham,1842.0892334,2021-11-05,2021-11-07,ENG-Premier League
586,Tottenham,1791.24768066,2021-11-05,2021-11-06,ENG-Premier League
587,Leicester,1774.02526855,2021-11-05,2021-11-07,ENG-Premier League
588,Leeds,1755.48449707,2021-11-05,2021-11-07,ENG-Premier League
589,Everton,1752.7076416,2021-11-05,2021-11-07,ENG-Premier League
590,Wolves,1750.57897949,2021-11-05,2021-11-06,ENG-Premier League
591,Brighton,1742.90332031,2021-11-05,2021-11-06,ENG-Premier League
592,Crystal Palace,1731.37927246,2021-11-05,2021-11-06,ENG-Premier League
593,Aston Villa,1723.38330078,2021-11-06,2021-11-07,ENG-Premier League
594,Southampton,1718.22595215,2021-11-06,2021-11-20,ENG-Premier League
595,Burnley,1694.4699707,2021-11-05,2021-11-06,ENG-Premier League
596,Brentford,1692.19360352,2021-11-05,2021-11-06,ENG-Premier League
597,Newcastle,1682.78393555,2021-11-05,2021-11-06,ENG-Premier League
598,Watford,1670.43615723,2021-11-05,2021-11-06,ENG-Premier League
599,Norwich,1615.00830078,2021-11-05,2021-11-06,ENG-Premier League
600,Man City,2003.69055176,2021-11-07,2021-11-21,ENG-Premier League
601,Liverpool,1993.83129883,2021-11-05,2021-11-07,ENG-Premier League
602,Chelsea,1948.95935059,2021-11-07,2021-11-20,ENG-Premier League
603,Man United,1890.05297852,2021-11-07,2021-11-07,ENG-Premier League
604,Arsenal,1857.53796387,2021-11-05,2021-11-07,ENG-Premier League
605,West Ham,1842.0892334,2021-11-05,2021-11-07,ENG-Premier League
606,Tottenham,1791.24768066,2021-11-07,2021-11-07,ENG-Premier League
607,Leicester,1774.02526855,2021-11-05,2021-11-07,ENG-Premier League
608,Leeds,1755.48449707,2021-11-05,2021-11-07,ENG-Premier League
609,Everton,1752.7076416,2021-11-05,2021-11-07,ENG-Premier League
610,Crystal Palace,1742.67602539,2021-11-07,2021-11-07,ENG-Premier League
611,Brighton,1740.41101074,2021-11-07,2021-11-20,ENG-Premier League
612,Wolves,1739.28210449,2021-11-07,2021-11-20,ENG-Premier League
613,Aston Villa,1723.38330078,2021-11-06,2021-11-07,ENG-Premier League
614,Southampton,1718.22595215,2021-11-06,2021-11-20,ENG-Premier League
615,Burnley,1701.29443359,2021-11-07,2021-11-07,ENG-Premier League
616,Newcastle,1685.27612305,2021-11-07,2021-11-07,ENG-Premier League
617,Brentford,1681.40844727,2021-11-07,2021-11-07,ENG-Premier League
618,Watford,1670.43615723,2021-11-07,2021-11-07,ENG-Premier League
619,Norwich,1625.79345703,2021-11-07,2021-11-07,ENG-Premier League
620,Man City,2003.69055176,2021-11-07,2021-11-21,ENG-Premier League
621,Liverpool,1982.67407227,2021-11-08,2021-11-20,ENG-Premier League
622,Chelsea,1948.95935059,2021-11-07,2021-11-20,ENG-Premier League
623,Man United,1890.05297852,2021-11-08,2021-11-20,ENG-Premier League
624,Arsenal,1860.83435059,2021-11-08,2021-11-20,ENG-Premier League
625,West Ham,1853.24633789,2021-11-08,2021-11-20,ENG-Premier League
626,Tottenham,1790.93188477,2021-11-08,2021-11-20,ENG-Premier League
627,Leicester,1774.28491211,2021-11-08,2021-11-20,ENG-Premier League
628,Leeds,1755.22485352,2021-11-08,2021-11-21,ENG-Premier League
629,Everton,1753.02355957,2021-11-08,2021-11-21,ENG-Premier League
630,Crystal Palace,1742.67602539,2021-11-08,2021-11-20,ENG-Premier League
631,Brighton,1740.41101074,2021-11-07,2021-11-20,ENG-Premier League
632,Wolves,1739.28210449,2021-11-07,2021-11-20,ENG-Premier League
633,Aston Villa,1723.38330078,2021-11-08,2021-11-20,ENG-Premier League
634,Southampton,1718.22595215,2021-11-06,2021-11-20,ENG-Premier League
635,Burnley,1701.29443359,2021-11-08,2021-11-20,ENG-Premier League
636,Newcastle,1685.27612305,2021-11-08,2021-11-20,ENG-Premier League
637,Brentford,1681.40844727,2021-11-08,2021-11-20,ENG-Premier League
638,Watford,1667.13964844,2021-11-08,2021-11-20,ENG-Premier League
639,Norwich,1625.79345703,2021-11-15,2021-11-20,ENG-Premier League
640,Man City,2003.69055176,2021-11-07,2021-11-21,ENG-Premier League
641,Liverpool,1991.41174316,2021-11-21,2021-11-23,ENG-Premier League
642,Chelsea,1956.734375,2021-11-21,2021-11-23,ENG-Premier League
643,Man United,1867.73962402,2021-11-21,2021-11-23,ENG-Premier League
644,Arsenal,1852.09680176,2021-11-21,2021-11-23,ENG-Premier League
645,West Ham,1842.95874023,2021-11-21,2021-11-23,ENG-Premier League
646,Tottenham,1790.93188477,2021-11-21,2021-11-21,ENG-Premier League
647,Leicester,1766.5098877,2021-11-21,2021-11-23,ENG-Premier League
648,Leeds,1755.22485352,2021-11-08,2021-11-21,ENG-Premier League
649,Everton,1753.02355957,2021-11-08,2021-11-21,ENG-Premier League
650,Wolves,1749.56982422,2021-11-21,2021-11-21,ENG-Premier League
651,Crystal Palace,1742.32897949,2021-11-21,2021-11-23,ENG-Premier League
