,team,elo,from,to,league
211,Brighton,1735.97753906,2021-09-13,2021-09-13,ENG-Premier League
212,Wolves,1733.93359375,2021-09-13,2021-09-13,ENG-Premier League
213,Crystal Palace,1712.7253418,2021-09-12,2021-09-14,ENG-Premier League
214,Southampton,1702.39782715,2021-09-13,2021-09-14,ENG-Premier League
215,Newcastle,1700.92944336,2021-09-13,2021-09-14,ENG-Premier League
216,Burnley,1699.07641602,2021-09-13,2021-09-13,ENG-Premier League
217,Brentford,1684.66491699,2021-09-13,2021-09-14,ENG-Premier League
218,Watford,1659.7565918,2021-09-12,2021-09-13,ENG-Premier League
219,Norwich,1639.88183594,2021-09-13,2021-09-14,ENG-Premier League
220,Man City,2019.66699219,2021-09-17,2021-09-18,ENG-Premier League
221,Liverpool,1958.3972168,2021-09-17,2021-09-18,ENG-Premier League
222,Chelsea,1945.27099609,2021-09-17,2021-09-19,ENG-Premier League
223,Man United,1924.76879883,2021-09-17,2021-09-19,ENG-Premier League
224,Arsenal,1834.64782715,2021-09-17,2021-09-18,ENG-Premier League
225,West Ham,1832.21252441,2021-09-17,2021-09-19,ENG-Premier League
226,Tottenham,1829.84399414,2021-09-17,2021-09-19,ENG-Premier League
227,Everton,1797.7890625,2021-09-17,2021-09-18,ENG-Premier League
228,Leicester,1795.1081543,2021-09-17,2021-09-18,ENG-Premier League
229,Leeds,1765.60998535,2021-09-17,2021-09-17,ENG-Premier League
230,Aston Villa,1739.44042969,2021-09-17,2021-09-18,ENG-Premier League
231,Brighton,1735.53356934,2021-09-17,2021-09-18,ENG-Premier League
232,Wolves,1733.48962402,2021-09-17,2021-09-18,ENG-Premier League
233,Crystal Palace,1712.28137207,2021-09-17,2021-09-18,ENG-Premier League
234,Southampton,1701.95385742,2021-09-17,2021-09-18,ENG-Premier League
235,Newcastle,1700.48547363,2021-09-17,2021-09-17,ENG-Premier League
236,Burnley,1691.24206543,2021-09-17,2021-09-17,ENG-Premier League
237,Brentford,1684.2208252,2021-09-17,2021-09-17,ENG-Premier League
238,Watford,1659.31262207,2021-09-17,2021-09-18,ENG-Premier League
239,Norwich,1639.43786621,2021-09-17,2021-09-18,ENG-Premier League
240,Man City,2019.66699219,2021-09-17,2021-09-18,ENG-Premier League
241,Liverpool,1958.3972168,2021-09-17,2021-09-18,ENG-Premier League
242,Chelsea,1945.27099609,2021-09-17,2021-09-19,ENG-Premier League
243,Man United,1924.76879883,2021-09-17,2021-09-19,ENG-Premier League
244,Arsenal,1834.64782715,2021-09-17,2021-09-18,ENG-Premier League
245,West Ham,1832.21252441,2021-09-17,2021-09-19,ENG-Premier League
246,Tottenham,1829.84399414,2021-09-17,2021-09-19,ENG-Premier League
247,Everton,1797.7890625,2021-09-17,2021-09-18,ENG-Premier League
248,Leicester,1795.1081543,2021-09-17,2021-09-18,ENG-Premier League
249,Leeds,1764.4954834,2021-09-18,2021-09-25,ENG-Premier League
250,Aston Villa,1739.44042969,2021-09-17,2021-09-18,ENG-Premier League
251,Brighton,1735.53356934,2021-09-17,2021-09-18,ENG-Premier League
252,Wolves,1733.48962402,2021-09-17,2021-09-18,ENG-Premier League
253,Crystal Palace,1712.28137207,2021-09-17,2021-09-18,ENG-Premier League
254,Southampton,1701.95385742,2021-09-17,2021-09-18,ENG-Premier League
255,Newcastle,1701.59997559,2021-09-18,2021-09-19,ENG-Premier League
256,Burnley,1691.24206543,2021-09-18,2021-09-18,ENG-Premier League
257,Brentford,1684.2208252,2021-09-18,2021-09-18,ENG-Premier League
258,Watford,1659.31262207,2021-09-17,2021-09-18,ENG-Premier League
259,Norwich,1639.43786621,2021-09-17,2021-09-18,ENG-Premier League
260,Man City,2012.0925293,2021-09-19,2021-09-25,ENG-Premier League
261,Liverpool,1962.58874512,2021-09-19,2021-09-25,ENG-Premier League
262,Chelsea,1945.27099609,2021-09-17,2021-09-19,ENG-Premier League
263,Man United,1924.76879883,2021-09-17,2021-09-19,ENG-Premier League
264,Arsenal,1839.76965332,2021-09-19,2021-09-26,ENG-Premier League
265,West Ham,1832.21252441,2021-09-17,2021-09-19,ENG-Premier League
266,Tottenham,1829.84399414,2021-09-17,2021-09-19,ENG-Premier League
267,Leicester,1795.1081543,2021-09-19,2021-09-19,ENG-Premier League
268,Everton,1782.40441895,2021-09-19,2021-09-25,ENG-Premier League
